Date,Adj Close,Close,High,Low,Open,Volume
1/1/2018,205.7235718,223.8856506,230.1347198,221.0195465,226.8457336,4132
1/2/2018,202.9172668,220.831604,225.6710968,218.623291,225.5301514,1845
1/3/2018,205.6372375,223.791687,225.2952118,220.3617401,220.831604,2513
1/4/2018,214.5310669,233.4706879,236.8066559,222.7580109,224.5904388,11573
1/5/2018,230.2463684,250.5733948,253.7214203,231.168396,237.7463684,43146
1/8/2018,225.3245239,245.217041,257.4802551,244.4182892,254.6611176,16071
1/9/2018,220.6185608,240.0956268,247.1434479,236.8536377,246.8145599,7271
1/10/2018,218.416687,237.6993713,248.0831604,235.0212097,241.7401276,11412
1/11/2018,219.15065,238.4981232,241.5052032,237.7463684,238.1222382,5970
1/12/2018,219.0211334,238.3571777,245.1230774,234.9272308,245.1230774,7164
1/15/2018,215.95578,235.0212097,238.5451202,233.752594,237.2765045,9204
1/16/2018,216.689743,235.8199615,251.8419952,228.6781769,239.6257782,13802
1/17/2018,216.2148285,235.3031158,236.8066559,231.168396,236.8066559,3145
1/18/2018,210.2568207,228.8191223,239.4378357,228.3492737,236.2428284,2936
1/19/2018,214.1424866,233.047821,234.9272308,224.0266113,224.0266113,5796
1/22/2018,209.2206726,227.6914825,238.4041595,225.8120575,238.4041595,6427
1/23/2018,209.7819214,228.3022919,234.3634033,225.9060364,234.3634033,4729
1/24/2018,205.4213562,223.5567627,231.0744324,222.0532227,226.4228668,2675
1/25/2018,207.8390961,226.1879425,229.2889862,222.664032,225.5301514,2545
1/29/2018,200.7585754,218.4823303,229.0540466,216.1330566,229.0540466,7359
1/30/2018,197.5205231,214.9584198,223.6507263,213.3139343,223.6507263,3295
1/31/2018,194.5847015,211.7634125,220.5966797,211.4814911,211.4814911,6021
2/1/2018,196.0526123,213.3609161,229.2419891,211.4814911,211.4814911,9133
2/2/2018,181.8915863,197.9496918,214.6295166,180.048233,211.9043579,22422
2/5/2018,177.0992889,192.7342987,210.4008331,186.0623627,186.0623627,10443
2/6/2018,178.0059357,193.720993,196.2582092,183.3372192,187.3779602,8530
2/7/2018,180.2078094,196.1172485,202.0374146,189.3513489,202.0374146,3861
